,A:7,A:aug,A:dim,A:dim7,A:hdim7,A:maj,A:maj6,A:maj7,A:min,A:min6,A:min7,A:minmaj7,A:sus2,A:sus4,Ab:7,Ab:aug,Ab:dim,Ab:dim7,Ab:hdim7,Ab:maj,Ab:maj6,Ab:maj7,Ab:min,Ab:min6,Ab:min7,Ab:minmaj7,Ab:sus2,Ab:sus4,B:7,B:aug,B:dim,B:hdim7,B:maj,B:maj6,B:maj7,B:min,B:min6,B:min7,B:sus2,B:sus4,Bb:7,Bb:aug,Bb:dim,Bb:hdim7,Bb:maj,Bb:maj6,Bb:maj7,Bb:min,Bb:min6,Bb:min7,Bb:minmaj7,Bb:sus2,Bb:sus4,C#:7,C#:aug,C#:dim,C#:dim7,C#:hdim7,C#:maj,C#:maj6,C#:maj7,C#:min,C#:min6,C#:min7,C#:minmaj7,C#:sus2,C#:sus4,C:7,C:aug,C:dim,C:dim7,C:hdim7,C:maj,C:maj6,C:maj7,C:min,C:min6,C:min7,C:minmaj7,C:sus2,C:sus4,D:7,D:aug,D:dim,D:dim7,D:hdim7,D:maj,D:maj6,D:maj7,D:min,D:min6,D:min7,D:sus2,D:sus4,E:7,E:aug,E:dim,E:dim7,E:hdim7,E:maj,E:maj6,E:maj7,E:min,E:min6,E:min7,E:minmaj7,E:sus2,E:sus4,Eb:7,Eb:aug,Eb:dim,Eb:dim7,Eb:hdim7,Eb:maj,Eb:maj6,Eb:maj7,Eb:min,Eb:min6,Eb:min7,Eb:minmaj7,Eb:sus2,Eb:sus4,F#:7,F#:aug,F#:dim,F#:dim7,F#:hdim7,F#:maj,F#:maj6,F#:maj7,F#:min,F#:min6,F#:min7,F#:minmaj7,F#:sus2,F#:sus4,F:7,F:aug,F:dim,F:dim7,F:hdim7,F:maj,F:maj6,F:maj7,F:min,F:min6,F:min7,F:minmaj7,F:sus2,F:sus4,G:7,G:aug,G:dim,G:dim7,G:hdim7,G:maj,G:maj6,G:maj7,G:min,G:min7,G:minmaj7,G:sus2,G:sus4
Bb:7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.78%,0.00%,0.00%,1.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.93%,0.00%,0.00%,0.00%,0.93%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.48%,0.00%,0.00%,3.70%,0.00%,0.00%,0.00%,0.93%,4.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.93%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.85%,0.00%,0.93%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,34.26%,0.00%,2.78%,8.33%,0.00%,4.63%,0.00%,2.78%,0.93%,0.00%,0.00%,0.00%,0.00%,0.00%,1.85%,0.00%,1.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.78%,0.00%,0.00%,0.93%,0.00%,0.93%,0.00%,0.00%,0.00%,0.00%,0.00%,1.85%,0.00%,0.00%,0.93%,0.00%,0.00%,5.56%,1.85%,0.00%,0.00%,0.00%
Bb:aug,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,60.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bb:dim,0.00%,0.00%,0.00%,0.00%,0.00%,8.47%,0.00%,0.00%,0.00%,0.00%,5.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.69%,0.00%,0.00%,1.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.08%,0.00%,0.00%,5.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.69%,0.00%,1.69%,0.00%,6.78%,0.00%,0.00%,0.00%,1.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.78%,0.00%,0.00%,0.00%,0.00%,30.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.69%,0.00%,0.00%,0.00%,0.00%,3.39%,0.00%,0.00%,3.39%,0.00%,5.08%,0.00%,0.00%,1.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.39%,0.00%,0.00%,1.69%,0.00%,0.00%,0.00%,0.00%
Bb:hdim7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.57%,3.57%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.14%,0.00%,0.00%,0.00%,0.00%,42.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.71%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bb:maj,0.10%,0.00%,0.12%,0.00%,0.04%,1.12%,0.00%,0.00%,2.21%,0.00%,0.40%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,0.06%,0.00%,5.20%,0.10%,0.10%,0.10%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.08%,0.08%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.54%,0.00%,0.00%,0.00%,10.47%,0.19%,0.81%,1.14%,0.00%,0.04%,0.00%,2.04%,1.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17%,0.00%,0.00%,0.00%,0.00%,11.61%,0.00%,0.00%,9.76%,0.00%,0.50%,0.00%,1.10%,0.96%,0.27%,0.19%,0.04%,0.00%,0.00%,0.81%,0.00%,0.00%,3.00%,0.00%,0.52%,0.17%,0.12%,0.00%,0.00%,0.02%,0.04%,0.10%,0.04%,0.00%,0.02%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,15.71%,0.06%,0.58%,2.21%,0.00%,0.19%,0.00%,1.98%,0.17%,0.00%,0.00%,0.02%,0.00%,0.00%,0.35%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,7.55%,0.10%,0.06%,1.04%,0.00%,0.02%,0.00%,0.08%,0.35%,0.00%,0.00%,0.00%,0.00%,0.00%,1.21%,0.00%,0.00%,9.61%,1.39%,0.00%,0.21%,0.19%
Bb:maj6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.63%,0.00%,3.49%,0.00%,0.00%,0.00%,0.00%,1.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.95%,0.00%,1.16%,0.00%,0.00%,0.00%,0.00%,5.81%,3.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.16%,0.00%,0.00%,0.00%,0.00%,4.65%,0.00%,0.00%,6.98%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.33%,0.00%,0.00%,1.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.65%,0.00%,3.49%,0.00%,0.00%,0.00%,0.00%,1.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.58%,2.33%,0.00%,0.00%,0.00%
Bb:maj7,0.62%,0.00%,0.00%,0.00%,0.00%,0.93%,0.00%,0.00%,2.80%,0.00%,2.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.93%,0.00%,0.00%,0.62%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.25%,0.00%,11.84%,1.25%,4.05%,0.00%,0.00%,0.00%,0.00%,4.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.25%,0.00%,0.00%,0.00%,0.00%,6.85%,0.93%,0.00%,2.18%,0.31%,0.31%,0.00%,1.25%,2.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.62%,0.00%,0.00%,2.18%,0.00%,0.93%,3.74%,0.00%,0.00%,0.00%,0.00%,0.00%,0.31%,0.31%,0.00%,0.00%,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.66%,0.00%,1.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.31%,0.00%,0.00%,0.00%,0.00%,4.36%,0.00%,0.93%,0.00%,0.31%,0.00%,0.00%,0.93%,1.56%,0.62%,0.00%,0.00%,0.00%,0.00%,2.80%,0.00%,0.31%,16.51%,2.49%,0.00%,2.18%,0.00%
Bb:min,0.00%,0.15%,0.04%,0.00%,0.00%,0.07%,0.00%,0.00%,0.33%,0.00%,0.00%,0.00%,0.04%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,7.35%,0.66%,0.00%,1.44%,0.00%,0.41%,0.00%,0.26%,0.15%,0.00%,0.00%,0.00%,0.00%,3.51%,0.00%,0.37%,0.04%,0.00%,0.00%,0.00%,0.00%,0.18%,0.00%,0.00%,0.00%,2.14%,0.00%,0.07%,13.26%,0.00%,1.55%,0.00%,1.96%,1.48%,0.26%,0.00%,0.00%,0.11%,0.00%,4.03%,0.11%,0.55%,0.07%,0.00%,0.00%,0.00%,0.15%,0.00%,0.11%,0.00%,0.26%,0.00%,0.00%,1.99%,0.00%,0.00%,2.73%,0.00%,0.41%,0.00%,0.00%,0.30%,0.07%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,12.08%,0.00%,0.00%,15.18%,0.00%,0.78%,0.00%,1.11%,1.48%,0.15%,0.00%,0.00%,0.00%,0.00%,9.23%,0.04%,1.00%,0.00%,0.00%,0.00%,0.00%,0.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.14%,0.00%,0.00%,9.38%,0.00%,0.33%,0.00%,0.00%,0.15%,0.00%,0.00%,0.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%
Bb:min6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bb:min7,0.00%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.49%,0.43%,0.21%,3.21%,0.43%,3.21%,0.00%,0.21%,0.64%,0.00%,0.00%,0.00%,0.00%,4.06%,0.43%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.85%,0.00%,0.00%,8.97%,0.00%,3.42%,0.00%,1.07%,0.64%,0.21%,0.00%,0.00%,0.00%,0.00%,7.26%,0.43%,2.99%,0.00%,0.00%,0.00%,0.00%,0.21%,0.21%,0.00%,0.00%,0.00%,0.00%,0.43%,3.85%,0.00%,0.00%,0.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.21%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.85%,0.00%,0.00%,0.00%,0.00%,5.34%,0.43%,0.00%,9.19%,0.00%,6.84%,0.00%,1.28%,3.21%,0.43%,0.00%,0.00%,0.00%,0.00%,8.76%,0.64%,2.14%,0.00%,0.00%,0.00%,0.00%,1.28%,0.64%,0.00%,0.00%,0.00%,0.00%,0.00%,0.21%,0.00%,0.00%,4.27%,0.00%,4.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bb:minmaj7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bb:sus2,0.00%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.01%,0.00%,0.76%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.78%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.76%,0.00%,0.00%,0.00%,16.88%,0.76%,2.02%,6.30%,0.50%,2.02%,0.00%,4.79%,2.52%,0.00%,0.00%,0.00%,0.00%,0.00%,5.04%,0.00%,2.27%,0.00%,0.00%,0.00%,0.00%,1.76%,0.25%,0.50%,0.00%,0.00%,0.00%,0.00%,2.52%,0.00%,0.00%,5.04%,0.00%,1.76%,0.00%,1.01%,1.76%,0.00%,0.00%,0.00%,0.00%,0.00%,0.50%,0.00%,0.00%,0.00%,0.00%,5.54%,0.00%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.04%,0.00%,1.01%,1.76%,0.00%,0.00%,0.00%,1.01%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,3.53%,0.00%,2.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,2.77%,0.25%,0.00%,1.01%,0.00%,1.26%,0.00%,0.25%,0.76%,0.00%,0.00%,0.00%,0.00%,0.25%,0.50%,0.00%,0.00%,3.53%,1.01%,0.00%,0.25%,0.25%
Bb:sus4,0.00%,0.00%,0.00%,0.00%,0.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.68%,3.68%,0.67%,1.67%,0.00%,0.00%,0.00%,0.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.33%,0.00%,0.33%,0.00%,0.00%,0.00%,0.33%,0.00%,1.67%,0.00%,0.00%,0.00%,19.73%,0.00%,0.00%,6.02%,0.00%,1.67%,0.00%,2.01%,4.01%,0.00%,0.00%,0.00%,0.00%,0.00%,1.67%,0.00%,0.00%,0.33%,0.00%,0.00%,0.00%,0.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.35%,0.00%,0.00%,6.35%,0.00%,0.67%,0.00%,0.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.67%,0.00%,0.00%,0.00%,0.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.04%,0.00%,1.67%,10.70%,0.00%,1.00%,0.00%,1.34%,1.67%,0.00%,0.00%,0.00%,0.00%,0.00%,3.68%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.67%,0.00%,0.00%,2.34%,0.00%,0.67%,0.00%,0.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.34%,0.00%,0.00%,0.00%,0.33%
C#:7,0.00%,0.00%,0.00%,0.00%,0.00%,1.46%,0.00%,3.65%,1.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.73%,0.00%,0.00%,0.73%,0.00%,4.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.73%,0.00%,3.65%,0.73%,1.46%,0.73%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.73%,0.00%,0.73%,0.00%,0.00%,2.92%,0.00%,1.46%,0.00%,0.00%,0.00%,5.84%,0.00%,0.00%,0.00%,0.00%,6.57%,0.00%,0.00%,1.46%,0.00%,0.00%,0.00%,0.00%,2.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.46%,0.00%,0.00%,0.73%,0.00%,1.46%,0.00%,0.00%,0.73%,0.00%,0.00%,0.00%,0.00%,0.00%,32.12%,0.00%,1.46%,11.68%,0.00%,2.92%,0.00%,0.73%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C#:aug,0.00%,0.00%,0.00%,0.00%,0.00%,3.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.85%,0.00%,0.00%,0.00%,0.00%,15.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.54%,0.00%,0.00%,3.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.85%,0.00%,0.00%,0.00%,0.00%,0.00%,23.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,23.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
