,A:7,A:aug,A:dim,A:dim7,A:hdim7,A:maj,A:maj6,A:maj7,A:min,A:min6,A:min7,A:minmaj7,A:sus2,A:sus4,Ab:7,Ab:aug,Ab:dim,Ab:dim7,Ab:hdim7,Ab:maj,Ab:maj6,Ab:maj7,Ab:min,Ab:min6,Ab:min7,Ab:minmaj7,Ab:sus2,Ab:sus4,B:7,B:aug,B:dim,B:hdim7,B:maj,B:maj6,B:maj7,B:min,B:min6,B:min7,B:sus2,B:sus4,Bb:7,Bb:aug,Bb:dim,Bb:hdim7,Bb:maj,Bb:maj6,Bb:maj7,Bb:min,Bb:min6,Bb:min7,Bb:minmaj7,Bb:sus2,Bb:sus4,C#:7,C#:aug,C#:dim,C#:dim7,C#:hdim7,C#:maj,C#:maj6,C#:maj7,C#:min,C#:min6,C#:min7,C#:minmaj7,C#:sus2,C#:sus4,C:7,C:aug,C:dim,C:dim7,C:hdim7,C:maj,C:maj6,C:maj7,C:min,C:min6,C:min7,C:minmaj7,C:sus2,C:sus4,D:7,D:aug,D:dim,D:dim7,D:hdim7,D:maj,D:maj6,D:maj7,D:min,D:min6,D:min7,D:sus2,D:sus4,E:7,E:aug,E:dim,E:dim7,E:hdim7,E:maj,E:maj6,E:maj7,E:min,E:min6,E:min7,E:minmaj7,E:sus2,E:sus4,Eb:7,Eb:aug,Eb:dim,Eb:dim7,Eb:hdim7,Eb:maj,Eb:maj6,Eb:maj7,Eb:min,Eb:min6,Eb:min7,Eb:minmaj7,Eb:sus2,Eb:sus4,F#:7,F#:aug,F#:dim,F#:dim7,F#:hdim7,F#:maj,F#:maj6,F#:maj7,F#:min,F#:min6,F#:min7,F#:minmaj7,F#:sus2,F#:sus4,F:7,F:aug,F:dim,F:dim7,F:hdim7,F:maj,F:maj6,F:maj7,F:min,F:min6,F:min7,F:minmaj7,F:sus2,F:sus4,G:7,G:aug,G:dim,G:dim7,G:hdim7,G:maj,G:maj6,G:maj7,G:min,G:min7,G:minmaj7,G:sus2,G:sus4,end_chord,start_chord
Bb:7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.44%,0.00%,0.00%,1.91%,0.00%,0.00%,0.00%,0.00%,0.00%,1.09%,0.00%,0.00%,0.00%,0.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.76%,0.00%,0.00%,3.43%,0.00%,0.00%,0.00%,0.69%,4.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.84%,0.00%,0.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.97%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,32.80%,0.00%,3.33%,9.92%,0.00%,5.54%,0.00%,3.03%,1.13%,0.00%,0.00%,0.00%,0.00%,0.00%,2.33%,0.00%,1.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.25%,0.00%,0.00%,0.84%,0.00%,0.69%,0.00%,0.00%,0.00%,0.00%,0.00%,2.16%,0.00%,0.00%,1.02%,0.00%,0.00%,5.56%,2.20%,0.00%,0.00%,0.00%,0.00%,0.00%
Bb:aug,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,35.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,64.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bb:dim,0.00%,0.00%,0.00%,0.00%,0.00%,8.36%,0.00%,0.00%,0.00%,0.00%,6.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.71%,0.00%,0.00%,1.71%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.12%,0.00%,0.00%,5.59%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.95%,0.00%,1.49%,0.00%,3.66%,0.00%,0.00%,0.00%,1.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.34%,0.00%,0.00%,0.00%,0.00%,32.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.95%,0.00%,0.00%,0.00%,0.00%,3.69%,0.00%,0.00%,3.42%,0.00%,5.54%,0.00%,0.00%,1.95%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.48%,0.00%,0.00%,0.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bb:hdim7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.62%,2.62%,0.00%,0.00%,0.00%,0.00%,0.00%,15.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.66%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.52%,0.00%,0.00%,0.00%,0.00%,46.82%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bb:maj,0.10%,0.00%,0.14%,0.00%,0.04%,1.22%,0.00%,0.00%,2.29%,0.00%,0.40%,0.00%,0.00%,0.18%,0.00%,0.00%,0.00%,0.06%,0.00%,5.01%,0.11%,0.11%,0.12%,0.00%,0.00%,0.00%,0.13%,0.00%,0.00%,0.00%,0.08%,0.05%,0.26%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.51%,0.00%,0.00%,0.00%,9.89%,0.17%,0.80%,1.26%,0.00%,0.03%,0.00%,1.74%,0.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.14%,0.00%,0.00%,0.00%,0.00%,11.61%,0.00%,0.00%,9.72%,0.00%,0.42%,0.00%,0.99%,0.75%,0.27%,0.11%,0.05%,0.00%,0.00%,0.86%,0.00%,0.00%,2.99%,0.00%,0.39%,0.13%,0.09%,0.00%,0.00%,0.02%,0.04%,0.11%,0.05%,0.00%,0.01%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,16.58%,0.04%,0.56%,2.27%,0.00%,0.22%,0.00%,1.89%,0.17%,0.00%,0.00%,0.02%,0.00%,0.00%,0.34%,0.00%,0.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,8.10%,0.06%,0.06%,1.11%,0.00%,0.03%,0.00%,0.07%,0.29%,0.00%,0.00%,0.00%,0.00%,0.00%,1.30%,0.00%,0.00%,9.69%,1.14%,0.00%,0.20%,0.13%,0.63%,0.00%
Bb:maj6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.83%,0.00%,3.91%,0.00%,0.00%,0.00%,0.00%,1.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.62%,0.00%,1.12%,0.00%,0.00%,0.00%,0.00%,5.83%,2.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.03%,0.00%,0.00%,0.00%,0.00%,6.87%,0.00%,0.00%,6.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.01%,0.00%,0.00%,1.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.16%,0.00%,2.94%,0.00%,0.00%,0.00%,0.00%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.76%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,21.75%,1.86%,0.00%,0.00%,0.00%,0.00%,0.00%
Bb:maj7,0.66%,0.00%,0.00%,0.00%,0.00%,1.14%,0.00%,0.00%,3.39%,0.00%,2.66%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.03%,0.00%,0.00%,0.68%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.79%,0.00%,10.15%,1.37%,4.70%,0.00%,0.00%,0.00%,0.00%,3.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.32%,0.00%,0.00%,0.00%,0.00%,7.53%,0.70%,0.00%,2.00%,0.22%,0.31%,0.00%,0.72%,2.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.86%,0.00%,0.00%,2.46%,0.00%,0.96%,2.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.35%,0.37%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.49%,0.00%,1.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.17%,0.00%,0.00%,0.00%,0.00%,3.78%,0.00%,1.25%,0.00%,0.54%,0.00%,0.00%,1.11%,1.10%,0.92%,0.00%,0.00%,0.00%,0.00%,3.50%,0.00%,0.30%,19.35%,2.85%,0.00%,1.90%,0.00%,0.00%,0.00%
Bb:min,0.00%,0.12%,0.04%,0.00%,0.00%,0.07%,0.00%,0.00%,0.42%,0.00%,0.00%,0.00%,0.03%,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,7.42%,0.59%,0.00%,1.29%,0.00%,0.44%,0.00%,0.19%,0.16%,0.00%,0.00%,0.00%,0.00%,3.35%,0.00%,0.26%,0.05%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,0.00%,0.00%,1.93%,0.00%,0.07%,11.51%,0.00%,1.40%,0.00%,1.88%,1.07%,0.25%,0.00%,0.00%,0.14%,0.00%,4.57%,0.07%,0.42%,0.07%,0.00%,0.00%,0.00%,0.11%,0.00%,0.13%,0.00%,0.30%,0.00%,0.00%,2.13%,0.00%,0.00%,2.67%,0.00%,0.35%,0.00%,0.00%,0.24%,0.05%,0.00%,0.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,12.92%,0.00%,0.00%,15.65%,0.00%,0.72%,0.00%,1.11%,1.13%,0.16%,0.00%,0.00%,0.00%,0.00%,8.97%,0.04%,1.12%,0.00%,0.00%,0.00%,0.00%,0.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.68%,0.00%,0.00%,9.78%,0.00%,0.27%,0.00%,0.00%,0.11%,0.00%,0.00%,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,0.00%,0.00%,0.00%,0.78%,0.00%
Bb:min6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bb:min7,0.00%,0.00%,0.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.00%,0.46%,0.23%,3.16%,0.60%,2.54%,0.00%,0.16%,0.74%,0.00%,0.00%,0.00%,0.00%,4.94%,0.58%,0.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.34%,0.00%,0.00%,8.29%,0.00%,1.95%,0.00%,0.92%,0.52%,0.22%,0.00%,0.00%,0.00%,0.00%,6.99%,0.40%,3.01%,0.00%,0.00%,0.00%,0.00%,0.23%,0.17%,0.00%,0.00%,0.00%,0.00%,0.58%,3.84%,0.00%,0.00%,0.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%,0.15%,0.00%,0.00%,0.00%,0.00%,0.17%,0.00%,0.82%,0.00%,0.00%,0.00%,0.00%,5.65%,0.34%,0.00%,9.80%,0.00%,6.02%,0.00%,1.39%,3.15%,0.28%,0.00%,0.00%,0.00%,0.00%,9.95%,0.66%,2.52%,0.00%,0.00%,0.00%,0.00%,1.16%,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.15%,0.00%,0.00%,5.41%,0.00%,3.83%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.00%
Bb:minmaj7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,27.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,72.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Bb:sus2,0.00%,0.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.95%,0.00%,0.64%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.53%,0.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.55%,0.00%,0.00%,0.00%,17.27%,0.77%,1.70%,6.70%,0.27%,1.91%,0.00%,5.10%,1.66%,0.00%,0.00%,0.00%,0.00%,0.00%,5.56%,0.00%,2.07%,0.00%,0.00%,0.00%,0.00%,1.71%,0.23%,0.52%,0.00%,0.00%,0.00%,0.00%,2.22%,0.00%,0.00%,4.61%,0.00%,1.47%,0.00%,1.15%,1.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.54%,0.00%,0.00%,0.00%,0.00%,4.13%,0.00%,0.42%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.02%,0.00%,0.99%,2.49%,0.00%,0.00%,0.00%,0.93%,0.51%,0.00%,0.00%,0.00%,0.00%,0.00%,3.83%,0.00%,3.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.29%,0.00%,0.00%,0.00%,0.00%,3.40%,0.21%,0.00%,1.11%,0.00%,1.30%,0.00%,0.18%,0.74%,0.00%,0.00%,0.00%,0.00%,0.13%,0.69%,0.00%,0.00%,3.23%,1.02%,0.00%,0.26%,0.23%,1.16%,0.00%
Bb:sus4,0.00%,0.00%,0.00%,0.00%,0.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.04%,4.21%,0.66%,1.79%,0.00%,0.00%,0.00%,0.72%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.00%,0.39%,0.00%,0.00%,0.00%,0.42%,0.00%,2.37%,0.00%,0.00%,0.00%,20.34%,0.00%,0.00%,6.14%,0.00%,1.81%,0.00%,1.69%,3.87%,0.00%,0.00%,0.00%,0.00%,0.00%,1.56%,0.00%,0.00%,0.32%,0.00%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.83%,0.00%,0.00%,5.84%,0.00%,0.47%,0.00%,0.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.50%,0.00%,0.00%,0.00%,0.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.08%,0.00%,1.29%,10.60%,0.00%,0.99%,0.00%,1.42%,1.59%,0.00%,0.00%,0.00%,0.00%,0.00%,3.90%,0.00%,1.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.74%,0.00%,0.00%,2.31%,0.00%,0.57%,0.00%,0.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.32%,0.00%,0.00%,0.00%,0.28%,0.00%,0.00%
C#:7,0.00%,0.00%,0.00%,0.00%,0.00%,1.98%,0.00%,2.82%,1.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.61%,0.00%,0.00%,0.61%,0.00%,3.59%,0.00%,0.00%,0.00%,0.00%,0.00%,0.85%,0.00%,3.07%,0.60%,0.94%,1.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.85%,0.00%,0.81%,0.00%,0.00%,2.79%,0.00%,1.47%,0.00%,0.00%,0.00%,4.74%,0.00%,0.00%,0.00%,0.00%,6.08%,0.00%,0.00%,1.19%,0.00%,0.00%,0.00%,0.00%,2.59%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.98%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.94%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.95%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.46%,0.00%,0.00%,0.68%,0.00%,1.49%,0.00%,0.00%,0.73%,0.00%,0.00%,0.00%,0.00%,0.00%,32.79%,0.00%,1.75%,15.54%,0.00%,3.11%,0.00%,0.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C#:aug,0.00%,0.00%,0.00%,0.00%,0.00%,4.82%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.35%,0.00%,0.00%,0.00%,0.00%,12.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.33%,0.00%,0.00%,4.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.23%,0.00%,0.00%,0.00%,0.00%,0.00%,19.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,28.75%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
